% Contained,Acres,Name,current_as_of,lat,lng
 5%,85000 ,SCU Lightning Complex,6:17pm,37.439437,-121.30435
 0%,46225 ,"LNU Lightning Complex (includes Hennessey, Gamble, 15-10, Spanish, Markley, 13-4, 11-16)",5:51pm,38.495,-122.35043
 95%,33424 ,Apple Fire,8/18/2020,33.990352,-116.963678
 38%,25948 ,Lake Fire,8:54am,34.679402,-118.451917
 7%,10672 ,River Fire,7:34am,36.60239,-121.62161
 0%,10000 ,CZU August Lightning Complex,2:14pm,37.09736605,-122.2801549
 30%,3000 ,Holser Fire,8/18/2020,34.438759,-118.758965
 10%,1500 ,Salt Fire,9:17am,38.027921,-120.763258
 10%,1500 ,Butte Lightning Complex,3:46pm,39.57612,-121.51987
 35%,1500 ,Hills Fire,8/18/2020,36.049389,-120.202872
 0%,1000 ,3-4 Fire,2:23pm,40.09571,-122.4393
 20%,930 ,Potters Fire,8/18/2020,39.57612,-121.51987
 40%,800 ,Creek Fire,1:40pm,39.8174372,-123.2111007
 0%,742 ,Carmel Fire,1:44pm,36.4463,-121.68181
 5%,675 ,Jones Fire,8:45am,39.29241,-121.100352
 0%,400 ,Ivory Fire,9:35am,39.6120891,-122.5334847
 90%,250 ,4-8 Fire,7:45am,39.555943,-122.5012461
 30%,200 ,Elsmere Fire,8/05/2020,34.3428,-118.49731
 35%,120 ,Post Fire,8/03/2020,34.22664,-118.37949
 40%,62 ,3-19 Fire,7:17am,39.276,-123.013667
 0%,50 ,Flint Fire,4:47pm,38.03106,-120.85258
 90%,14 ,Murphy Fire,2:07pm,38.840068,-120.876546
%,Not a CAL FIRE Incident,Dolan Fire,5:44pm,36.123,-121.602
%,Not a CAL FIRE Incident,North Complex Fire,8/18/2020,40.0231913,-121.3590869
%,Not a CAL FIRE Incident,Beach Fire ,8/17/2020,37.919382,-119.010655
%,Not a CAL FIRE Incident,August Complex (includes Doe Fire),8/18/2020,39.776,-122.673
%,Not a CAL FIRE Incident,Loyalton Fire,8/17/2020,39.702438,-120.143473
%,Not a CAL FIRE Incident,Feather Fire,8/13/2020,39.716713,-120.889438
%,Not a CAL FIRE Incident,Ranch Fire,8/18/2020,34.160265,-117.910498
